Summary,Issue Type,Status,Priority,Labels,Story point estimate,Sprint,Created,Updated,Nuvlo Started At,Nuvlo Done At,Description
Como usuario quiero filtrar metricas por Sprint y estado (Autenticacion con Atlassian),Story,Done,Medium,nuvlo-demo area-backend sprint-01 producto,2,PCC Sprint 01,2026-01-04 17:00,2026-01-10 20:00,2026-01-06 18:00,2026-01-10 20:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Panel de metricas),Story,Done,High,nuvlo-demo area-alertas sprint-01 producto,3,PCC Sprint 01,2026-01-06 18:00,2026-01-15 21:00,2026-01-09 19:00,2026-01-15 21:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Alertas y actividad),Story,Done,Low,nuvlo-demo area-documentacion sprint-01 producto,5,PCC Sprint 01,2026-01-08 19:00,2026-01-20 22:00,2026-01-12 20:00,2026-01-20 22:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Experiencia responsive),Story,Done,Medium,nuvlo-demo area-datos sprint-01 producto,8,PCC Sprint 01,2026-01-10 20:00,2026-01-25 23:00,2026-01-15 21:00,2026-01-25 23:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Autenticacion con Atlassian),Task,Done,Low,nuvlo-demo area-ux sprint-01 producto,13,PCC Sprint 01,2026-01-03 21:00,2026-01-09 00:00,2026-01-04 22:00,2026-01-09 00:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Panel de metricas),Task,Done,Medium,nuvlo-demo area-frontend sprint-01 producto,1,PCC Sprint 01,2026-01-05 17:00,2026-01-13 20:00,2026-01-07 18:00,2026-01-13 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Alertas y actividad),Task,Done,Medium,nuvlo-demo area-oauth sprint-01 producto,2,PCC Sprint 01,2026-01-07 18:00,2026-01-18 21:00,2026-01-10 19:00,2026-01-18 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Task. Sprint historico de dos semanas.
Revisar aviso cuando falta historial de transiciones (Experiencia responsive),Bug,Done,High,nuvlo-demo area-testing sprint-01 bugfix,5,PCC Sprint 01,2026-01-09 19:00,2026-01-23 22:00,2026-01-13 20:00,2026-01-23 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Autenticacion con Atlassian),Story,Done,Highest,nuvlo-demo area-backend sprint-01 producto,5,PCC Sprint 01,2026-01-11 20:00,2026-01-20 23:00,2026-01-16 21:00,2026-01-20 23:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Sincronizacion Jira),Story,Done,Medium,nuvlo-demo area-ux sprint-02 producto,13,PCC Sprint 02,2026-01-19 17:00,2026-01-28 20:00,2026-01-21 18:00,2026-01-28 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
